name,meaning,origin,gender,nationality,language,script,era,notes
Julian,Youthful,Latin,boy,nl,nl,Latin,classic,Roman roots
Floris,Flourishing,Latin,boy,nl,nl,Latin,classic,Medieval Dutch Count
Boaz,Swiftness,Hebrew,boy,nl,nl,Latin,modern,Biblical figure
Jens,God is gracious,Hebrew,boy,nl,nl,Latin,modern,Frisian/Danish John
Max,Greatest,Latin,boy,nl,nl,Latin,modern,Verstappen influence
Hugo,Mind / Intellect,Germanic,boy,nl,nl,Latin,classic,Hugo de Groot
Lars,Laurel,Latin,boy,nl,nl,Latin,modern,Scandi form of Laurence
Morris,Dark-skinned,Latin,boy,nl,nl,Latin,modern,English form of Maurice
Ties,Gift of God,Hebrew,boy,nl,nl,Latin,modern,Short for Matthijs
Stijn,Stone / Constant,Germanic,boy,nl,nl,Latin,classic,Short for Constantijn
Ruben,Behold a son,Hebrew,boy,nl,nl,Latin,classic,Biblical firstborn
Benjamin,Son of the right hand,Hebrew,boy,nl,nl,Latin,classic,Biblical youngest
Olivier,Olive tree,Latin,boy,nl,nl,Latin,classic,French influence
Vince,Conqueror,Latin,boy,nl,nl,Latin,modern,Short for Vincent
Jan,God is gracious,Hebrew,boy,nl,nl,Latin,classic,Most traditional Dutch
Joep,He will add,Hebrew,boy,nl,nl,Latin,classic,Dutch pet form of Jozef
Tom,Twin,Aramaic,boy,nl,nl,Latin,modern,Short for Thomas
Dex,Right-handed / Dyer,English,boy,nl,nl,Latin,modern,Short cool name
Abel,Breath / Vapor,Hebrew,boy,nl,nl,Latin,classic,Biblical brother
Felix,Lucky / Successful,Latin,boy,nl,nl,Latin,classic,Latin vocabulary
Jace,Healer,Greek,boy,nl,nl,Latin,modern,American import
Tobias,God is good,Hebrew,boy,nl,nl,Latin,classic,Biblical Tobias
Mohamed,Praiseworthy,Arabic,boy,nl,nl,Latin,modern,Cultural diversity
Willem,Resolute protector,Germanic,boy,nl,nl,Latin,classic,King's name
Xavi,New house,Basque,boy,nl,nl,Latin,modern,Short for Xavier
Otis,Wealthy,Germanic,boy,nl,nl,Latin,modern,Soul singer Redding
Julia,Youthful,Latin,girl,nl,nl,Latin,classic,Top girl name
Mila,Gracious / Dear,Slavic,girl,nl,nl,Latin,modern,Short and sweet
Emma,Whole / Universal,Germanic,girl,nl,nl,Latin,classic,Royal name
Sophie,Wisdom,Greek,girl,nl,nl,Latin,classic,French influence
Tess,Harvester,Greek,girl,nl,nl,Latin,modern,Dutch short for Theresa
Zoë,Life,Greek,girl,nl,nl,Latin,modern,Short spelling popular
Nora,Light,Arabic,girl,nl,nl,Latin,modern,Short for Eleonora
Yara,Small butterfly,Arabic,girl,nl,nl,Latin,modern,Multicultural
Evi,Life,Hebrew,girl,nl,nl,Latin,modern,Dutch form of Evie
Liv,Life / Protection,Norse,girl,nl,nl,Latin,modern,Nordic trend
Saar,Princess,Hebrew,girl,nl,nl,Latin,modern,Dutch short for Sarah
Lauren,Laurel,Latin,girl,nl,nl,Latin,modern,English import
Nina,Little girl,Spanish,girl,nl,nl,Latin,modern,International favorite
Lieke,Angel / Messenger,Germanic,girl,nl,nl,Latin,modern,Dutch short for Angelique
Lotte,Free man,French,girl,nl,nl,Latin,classic,Short for Charlotte
Olivia,Olive tree,Latin,girl,nl,nl,Latin,modern,International trend
Eva,Life,Hebrew,girl,nl,nl,Latin,classic,Biblical Eve
Anna,Grace,Hebrew,girl,nl,nl,Latin,classic,Timeless classic
Lynn,Lake / Waterfall,Welsh,girl,nl,nl,Latin,modern,Short English name
Fleur,Flower,French,girl,nl,nl,Latin,modern,French nature name
Elin,Light,Greek,girl,nl,nl,Latin,modern,Scandi form of Helen
Milou,Bitter / Famous,French,girl,nl,nl,Latin,modern,Tintin connection
Emily,Rival,Latin,girl,nl,nl,Latin,modern,English influence
Sarah,Princess,Hebrew,girl,nl,nl,Latin,classic,Biblical matriarch
Loïs,Renowned warrior,Germanic,girl,nl,nl,Latin,modern,Biblical Lois
Fien,He will add,Hebrew,girl,nl,nl,Latin,classic,Short for Josephine
Noé,Rest / Comfort,Hebrew,girl,nl,nl,Latin,modern,French form unisex
Cato,Wise / Pure,Latin,girl,nl,nl,Latin,classic,Roman history / Catharina
Lina,Tender,Arabic,girl,nl,nl,Latin,modern,Suffix name
Mia,Mine / Bitter,Latin,girl,nl,nl,Latin,modern,Global popularity
Sofie,Wisdom,Greek,girl,nl,nl,Latin,classic,Dutch spelling
Roos,Rose,Latin,girl,nl,nl,Latin,classic,Dutch word for Rose
Veerle,Traveling warrior,Germanic,girl,nl,nl,Latin,classic,Very Flemish/Dutch
Isa,Strong-willed,Germanic,girl,nl,nl,Latin,modern,Short for Isabel
Hannah,Grace,Hebrew,girl,nl,nl,Latin,classic,Palindrome
Suze,Lily,Hebrew,girl,nl,nl,Latin,classic,Short for Susanna
Fenna,Peace,Frisian,girl,nl,nl,Latin,classic,Frisian origin
Lisa,God is my oath,Hebrew,girl,nl,nl,Latin,classic,Short for Elisabeth
Julie,Youthful,Latin,girl,nl,nl,Latin,classic,French form
Luna,Moon,Latin,girl,nl,nl,Latin,modern,Nature celestial
Maud,Battle mighty,Germanic,girl,nl,nl,Latin,classic,Short for Matilda
Kiki,Castor bean,Greek,girl,nl,nl,Latin,modern,Bohemian playful
Maeve,Intoxicating,Gaelic,girl,nl,nl,Latin,modern,Irish mythology
Jasmijn,Jasmine flower,Persian,girl,nl,nl,Latin,modern,Dutch flower name
Vera,Faith / Truth,Russian,girl,nl,nl,Latin,modern,Vintage revival
Puck,Goblin / Sprite,English,girl,nl,nl,Latin,modern,Very Dutch specific usage
Philou,Love / Friend,Greek,girl,nl,nl,Latin,modern,Sophisticated French vibe
Charlie,Free man,Germanic,girl,nl,nl,Latin,modern,Unisex trend
Romée,Pilgrim to Rome,Latin,girl,nl,nl,Latin,modern,Feminine of Romeo
Benthe,Blessed,Latin,girl,nl,nl,Latin,modern,Short for Benedicta,

Alexander,Defender of men,Greek,boy,ru,ru,Cyrillic,classic,Imperial & top popular name
Mikhail,Who is like God?,Hebrew,boy,ru,ru,Cyrillic,classic,Russian form of Michael
Maxim,Greatest,Latin,boy,ru,ru,Cyrillic,modern,Consistently top ranked
Artem,Safe / Healthy,Greek,boy,ru,ru,Cyrillic,modern,Very popular currently
Ivan,God is gracious,Hebrew,boy,ru,ru,Cyrillic,classic,Most traditional Russian name
Daniil,God is my judge,Hebrew,boy,ru,ru,Cyrillic,modern,Biblical Daniel
Dmitry,Devoted to Demeter,Greek,boy,ru,ru,Cyrillic,classic,Dmitry Donskoy
Kirill,Lord / Master,Greek,boy,ru,ru,Cyrillic,modern,Cyril and Methodius
Andrey,Manly / Brave,Greek,boy,ru,ru,Cyrillic,classic,Apostle Andrew
Egor,Farmer,Greek,boy,ru,ru,Cyrillic,modern,Form of George
Ilya,Lord is my God,Hebrew,boy,ru,ru,Cyrillic,classic,Russian Elijah (Muromets)
Alexey,Defender,Greek,boy,ru,ru,Cyrillic,classic,Tsar's name
Matvey,Gift of God,Hebrew,boy,ru,ru,Cyrillic,modern,Biblical Matthew
Timofey,Honoring God,Greek,boy,ru,ru,Cyrillic,modern,Rising popularity
Roman,Citizen of Rome,Latin,boy,ru,ru,Cyrillic,classic,Romanov dynasty
Vladimir,Ruler of the world,Slavic,boy,ru,ru,Cyrillic,classic,Prince Vladimir
Sergey,Servant / Protector,Latin,boy,ru,ru,Cyrillic,classic,Pushkin / Esenin
Nikita,Victor,Greek,boy,ru,ru,Cyrillic,modern,Unisex in West boy in RU
Arseny,Virile / Strong,Greek,boy,ru,ru,Cyrillic,modern,Rising popularity
Vladislav,Possessing glory,Slavic,boy,ru,ru,Cyrillic,classic,Historical Slav name
Yaroslav,Fierce and glorious,Slavic,boy,ru,ru,Cyrillic,classic,Wise Prince Yaroslav
Fedor,Gift of God,Greek,boy,ru,ru,Cyrillic,classic,Dostoevsky
Konstantin,Steadfast,Latin,boy,ru,ru,Cyrillic,classic,Emperor name
Pavel,Small / Humble,Latin,boy,ru,ru,Cyrillic,classic,Russian Paul
Gleb,Heir of God,Norse,boy,ru,ru,Cyrillic,classic,Early Saint
Mark,Warrior of Mars,Latin,boy,ru,ru,Cyrillic,modern,International trend
Lev,Lion,Russian,boy,ru,ru,Cyrillic,classic,Tolstoy
Nikolay,Victory of the people,Greek,boy,ru,ru,Cyrillic,classic,Tsar Nicholas II
Stepan,Crown,Greek,boy,ru,ru,Cyrillic,classic,Traditional rural favorite
Denis,Devoted to Dionysus,Greek,boy,ru,ru,Cyrillic,modern,Saint Denis
Georgy,Farmer,Greek,boy,ru,ru,Cyrillic,classic,Saint George / Zhukov
Anton,Praiseworthy,Latin,boy,ru,ru,Cyrillic,classic,Chekhov
Timur,Iron,Turkic,boy,ru,ru,Cyrillic,modern,Tamerlane
Evgeny,Noble,Greek,boy,ru,ru,Cyrillic,classic,Onegin character
Igor,Warrior of peace,Norse,boy,ru,ru,Cyrillic,classic,Prince Igor
Ruslan,Lion,Turkic,boy,ru,ru,Cyrillic,classic,Pushkin poem hero
Grigory,Watchful,Greek,boy,ru,ru,Cyrillic,classic,Rasputin
Leonid,Lion's son,Greek,boy,ru,ru,Cyrillic,classic,Brezhnev
Victor,Conqueror,Latin,boy,ru,ru,Cyrillic,classic,Soviet popularity
Makar,Blessed / Happy,Greek,boy,ru,ru,Cyrillic,modern,Vintage revival
Semyon,He has heard,Hebrew,boy,ru,ru,Cyrillic,classic,Russian Simon
Oleg,Holy / Sacred,Norse,boy,ru,ru,Cyrillic,classic,Prophetic Oleg
Vyacheslav,More glory,Slavic,boy,ru,ru,Cyrillic,classic,Soviet favorite
Yuri,Farmer,Greek,boy,ru,ru,Cyrillic,classic,Gagarin (first in space)
Anatoly,Sunrise / East,Greek,boy,ru,ru,Cyrillic,classic,Karpov (Chess)
Vadim,Ruler,Slavic,boy,ru,ru,Cyrillic,classic,Old Russian name
Arthur,Bear man,Celtic,boy,ru,ru,Cyrillic,modern,International
Elisey,God is salvation,Hebrew,boy,ru,ru,Cyrillic,modern,Fairy tale Prince
Savva,Old man,Aramaic,boy,ru,ru,Cyrillic,modern,Merchant patron name
Miron,Myrrh / Peace,Greek,boy,ru,ru,Cyrillic,modern,Vintage revival
Sofia,Wisdom,Greek,girl,ru,ru,Cyrillic,classic,Top #1 girl name
Maria,Bitter / Beloved,Hebrew,girl,ru,ru,Cyrillic,classic,Most traditional
Anna,Grace,Hebrew,girl,ru,ru,Cyrillic,classic,Empress / Karenina
Alisa,Noble type,Germanic,girl,ru,ru,Cyrillic,modern,Alice in Wonderland
Victoria,Victory,Latin,girl,ru,ru,Cyrillic,modern,Very popular since 90s
Anastasia,Resurrection,Greek,girl,ru,ru,Cyrillic,classic,Grand Duchess
Polina,Small / Humble,Greek,girl,ru,ru,Cyrillic,classic,Gagarina (Singer)
Alexandra,Defender of men,Greek,girl,ru,ru,Cyrillic,classic,Empress name
Elizaveta,God is my oath,Hebrew,girl,ru,ru,Cyrillic,classic,Empress Elizabeth
Daria,Possessing goodness,Persian,girl,ru,ru,Cyrillic,classic,Traditional Dashenka
Varvara,Foreign / Barbarian,Greek,girl,ru,ru,Cyrillic,modern,Vintage revival
Ksenia,Hospitality / Stranger,Greek,girl,ru,ru,Cyrillic,classic,Saint Xenia
Veronica,True image,Greek,girl,ru,ru,Cyrillic,modern,Biblical
Ekaterina,Pure,Greek,girl,ru,ru,Cyrillic,classic,Catherine the Great
Vasilisa,Queen,Greek,girl,ru,ru,Cyrillic,modern,Fairy tale heroine
Arina,Peace,Greek,girl,ru,ru,Cyrillic,modern,Russian form of Irene
Eva,Life,Hebrew,girl,ru,ru,Cyrillic,modern,Biblical Eve
Kira,Mistress / Ruler,Greek,girl,ru,ru,Cyrillic,modern,Knightley namesake
Margarita,Pearl,Greek,girl,ru,ru,Cyrillic,classic,Master and Margarita
Uliana,Youthful,Latin,girl,ru,ru,Cyrillic,modern,Form of Juliana
Taisiya,Bandage / Of Isis,Greek,girl,ru,ru,Cyrillic,modern,Vintage revival
Alena,Bright / Torch,Greek,girl,ru,ru,Cyrillic,modern,Folk tale heroine
Diana,Divine,Latin,girl,ru,ru,Cyrillic,modern,Roman Goddess
Milana,Gracious,Slavic,girl,ru,ru,Cyrillic,modern,Italian influence
Kristina,Follower of Christ,Greek,girl,ru,ru,Cyrillic,modern,Western influence
Olga,Holy / Sacred,Norse,girl,ru,ru,Cyrillic,classic,Princess Olga
Tatiana,Organizer,Latin,girl,ru,ru,Cyrillic,classic,Eugene Onegin muse
Julia,Youthful,Latin,girl,ru,ru,Cyrillic,classic,Yulia traditional
Irina,Peace,Greek,girl,ru,ru,Cyrillic,classic,Three Sisters (Chekhov)
Eugenia,Noble,Greek,girl,ru,ru,Cyrillic,classic,Noble origin
Natalia,Christmas Day,Latin,girl,ru,ru,Cyrillic,classic,Natasha Rostova
Elena,Bright one,Greek,girl,ru,ru,Cyrillic,classic,Elena of Troy
Marina,Of the sea,Latin,girl,ru,ru,Cyrillic,classic,Tsvetaeva (Poet)
Svetlana,Light / Shining,Slavic,girl,ru,ru,Cyrillic,classic,Soviet favorite
Nadezhda,Hope,Slavic,girl,ru,ru,Cyrillic,classic,Virtue name
Olesya,Forest girl,Slavic,girl,ru,ru,Cyrillic,modern,Song/Novel name
Zlata,Golden,Slavic,girl,ru,ru,Cyrillic,modern,Precious metal
Amina,Trustworthy,Arabic,girl,ru,ru,Cyrillic,modern,Muslim popularity
Agata,Good,Greek,girl,ru,ru,Cyrillic,modern,Agatha Christie
Angelina,Angel / Messenger,Greek,girl,ru,ru,Cyrillic,modern,Jolie influence
Nika,Victory,Greek,girl,ru,ru,Cyrillic,modern,Short for Veronica
Emilia,Rival,Latin,girl,ru,ru,Cyrillic,modern,International trend
Camilla,Ceremonial attendant,Latin,girl,ru,ru,Cyrillic,modern,Western influence
Maya,Mother / Illusion,Greek,girl,ru,ru,Cyrillic,modern,Spring month (May)
Vitalia,Life,Latin,girl,ru,ru,Cyrillic,modern,Feminine of Vitaly
Galina,Calm / Healer,Greek,girl,ru,ru,Cyrillic,classic,Ulanova (Ballerina)
Lyudmila,People's favorite,Slavic,girl,ru,ru,Cyrillic,classic,Pushkin poem
Valentina,Strong / Healthy,Latin,girl,ru,ru,Cyrillic,classic,Tereshkova (Space)
Nina,Great-granddaughter,Quechua,girl,ru,ru,Cyrillic,classic,Soviet classic
Tamara,Palm tree,Hebrew,girl,ru,ru,Cyrillic,classic,Georgian Queen,
Oleksandr,Defender of men,Greek,boy,ua,uk,Cyrillic,classic,Ukrainian form of Alexander
Artem,Safe / Healthy,Greek,boy,ua,uk,Cyrillic,modern,Top popular name
Maksym,Greatest,Latin,boy,ua,uk,Cyrillic,modern,Cossack historical name
Dmytro,Devoted to Demeter,Greek,boy,ua,uk,Cyrillic,classic,St. Demetrius
Matviy,Gift of God,Hebrew,boy,ua,uk,Cyrillic,modern,Ukrainian Matthew
Nazar,He who has vowed,Hebrew,boy,ua,uk,Cyrillic,modern,Turkish/Hebrew roots
Bohdan,God given,Slavic,boy,ua,uk,Cyrillic,classic,Khmelnytsky (Hetman)
Ivan,God is gracious,Hebrew,boy,ua,uk,Cyrillic,classic,Traditional favorite
Andriy,Manly / Brave,Greek,boy,ua,uk,Cyrillic,classic,Shevchenko (Footballer)
Vladyslav,Possessing glory,Slavic,boy,ua,uk,Cyrillic,classic,Kyivan Rus prince
Danylo,God is my judge,Hebrew,boy,ua,uk,Cyrillic,classic,King Danylo Halytsky
Marko,Warrior of Mars,Latin,boy,ua,uk,Cyrillic,modern,Cossack name trend
Tymofiy,Honoring God,Greek,boy,ua,uk,Cyrillic,modern,Rising popularity
Mykhailo,Who is like God?,Hebrew,boy,ua,uk,Cyrillic,classic,St. Michael Patron of Kyiv
Denys,Devoted to Dionysus,Greek,boy,ua,uk,Cyrillic,modern,Common in 2000s
Vitaliy,Vital / Life,Latin,boy,ua,uk,Cyrillic,classic,Klitschko brothers
Volodymyr,Ruler of the world,Slavic,boy,ua,uk,Cyrillic,classic,Zelensky / St. Volodymyr
Yaroslav,Fierce and glorious,Slavic,boy,ua,uk,Cyrillic,classic,Yaroslav the Wise
Serhiy,Servant / Protector,Latin,boy,ua,uk,Cyrillic,classic,Paradjanov (Director)
Yurii,Farmer,Greek,boy,ua,uk,Cyrillic,classic,Ukrainian George
Oleh,Holy / Sacred,Norse,boy,ua,uk,Cyrillic,classic,Prince Oleh
Roman,Citizen of Rome,Latin,boy,ua,uk,Cyrillic,classic,Halych Prince
Kyrylo,Lord / Master,Greek,boy,ua,uk,Cyrillic,classic,Cyrillic alphabet
Mykyta,Victor,Greek,boy,ua,uk,Cyrillic,modern,Ukrainian Nikita
Illia,Lord is my God,Hebrew,boy,ua,uk,Cyrillic,classic,Prophet Elijah
Yehor,Farmer,Greek,boy,ua,uk,Cyrillic,modern,Variation of George
Pavlo,Small / Humble,Latin,boy,ua,uk,Cyrillic,classic,Apostle Paul
Ostap,Steady / Firm,Greek,boy,ua,uk,Cyrillic,classic,Taras Bulba character
Taras,Rebel / Troublemaker,Greek,boy,ua,uk,Cyrillic,classic,Shevchenko (Poet)
Mykola,Victory of the people,Greek,boy,ua,uk,Cyrillic,classic,St. Nicholas / Gogol
Ruslan,Lion,Turkic,boy,ua,uk,Cyrillic,classic,Ruslana (Singer)
Davyd,Beloved,Hebrew,boy,ua,uk,Cyrillic,modern,Biblical King
Zakhar,God has remembered,Hebrew,boy,ua,uk,Cyrillic,modern,Cossack vibes
Hlib,Heir of God,Norse,boy,ua,uk,Cyrillic,classic,Early martyr
Lev,Lion,Ukrainian,boy,ua,uk,Cyrillic,classic,City of Lviv namesake
Vasyl,King / Royal,Greek,boy,ua,uk,Cyrillic,classic,Stus (Poet)
Stepan,Crown,Greek,boy,ua,uk,Cyrillic,classic,Bandera (Historical)
Ihor,Warrior of peace,Norse,boy,ua,uk,Cyrillic,classic,Prince Ihor
Artur,Bear man,Celtic,boy,ua,uk,Cyrillic,modern,International
Viktor,Conqueror,Latin,boy,ua,uk,Cyrillic,classic,Yushchenko
Orest,He who stands on mountain,Greek,boy,ua,uk,Cyrillic,classic,Western Ukraine popular
Sviatoslav,Holy glory,Slavic,boy,ua,uk,Cyrillic,classic,Vakarchuk (Singer)
Yevhen,Noble,Greek,boy,ua,uk,Cyrillic,classic,Konovalets
Anatoliy,Sunrise,Greek,boy,ua,uk,Cyrillic,classic,Eastern region favorite
Valeriy,To be strong,Latin,boy,ua,uk,Cyrillic,classic,Lobanovskyi (Coach)
Stanislav,Stand in glory,Slavic,boy,ua,uk,Cyrillic,classic,Polish influence
Borys,Wolf / Short,Turkic,boy,ua,uk,Cyrillic,classic,Paton (Scientist)
Petro,Rock / Stone,Greek,boy,ua,uk,Cyrillic,classic,Poroshenko / Mohyla
Oleksiy,Defender,Greek,boy,ua,uk,Cyrillic,classic,Common variation
Hryhoriy,Watchful,Greek,boy,ua,uk,Cyrillic,classic,Skovoroda (Philosopher)
Sofiya,Wisdom,Greek,girl,ua,uk,Cyrillic,classic,Top #1 girl name
Maria,Bitter / Beloved,Hebrew,girl,ua,uk,Cyrillic,classic,Universal classic
Anna,Grace,Hebrew,girl,ua,uk,Cyrillic,classic,Yaroslavna (Queen of France)
Viktoria,Victory,Latin,girl,ua,uk,Cyrillic,modern,Very popular
Veronika,True image,Greek,girl,ua,uk,Cyrillic,modern,Biblical
Anastasiia,Resurrection,Greek,girl,ua,uk,Cyrillic,classic,Very common 90s-00s
Polina,Small / Humble,Greek,girl,ua,uk,Cyrillic,modern,French origin
Solomiya,Peace,Hebrew,girl,ua,uk,Cyrillic,classic,Krushelnytska (Opera)
Yeva,Life,Hebrew,girl,ua,uk,Cyrillic,modern,Biblical Eve
Daryna,Possessing goodness,Persian,girl,ua,uk,Cyrillic,classic,Ukrainian Daria
Kateryna,Pure,Greek,girl,ua,uk,Cyrillic,classic,Shevchenko painting
Zlata,Golden,Slavic,girl,ua,uk,Cyrillic,modern,Fairytale name
Milana,Gracious,Slavic,girl,ua,uk,Cyrillic,modern,International trend
Yana,God is gracious,Hebrew,girl,ua,uk,Cyrillic,classic,Short for Ioanna
Olha,Holy / Sacred,Norse,girl,ua,uk,Cyrillic,classic,Princess Olha
Oksana,Hospitality / Stranger,Greek,girl,ua,uk,Cyrillic,classic,Ukrainian form of Xenia
Yuliia,Youthful,Latin,girl,ua,uk,Cyrillic,classic,Tymoshenko
Diana,Divine,Latin,girl,ua,uk,Cyrillic,modern,Roman Goddess
Iryna,Peace,Greek,girl,ua,uk,Cyrillic,classic,Bilyk (Singer)
Tetiana,Organizer,Latin,girl,ua,uk,Cyrillic,classic,Traditional favorite
Nadiia,Hope,Slavic,girl,ua,uk,Cyrillic,classic,Virtue name
Oleksandra,Defender of men,Greek,girl,ua,uk,Cyrillic,classic,Lesya Ukrainka (Poet)
Khrystyna,Follower of Christ,Greek,girl,ua,uk,Cyrillic,classic,Soloviy (Singer)
Alina,Bright / Noble,Germanic,girl,ua,uk,Cyrillic,modern,Common since 90s
Nataliia,Christmas Day,Latin,girl,ua,uk,Cyrillic,classic,Mogilevskaya
Olena,Bright one,Greek,girl,ua,uk,Cyrillic,classic,Ukrainian Helen
Marharyta,Pearl,Greek,girl,ua,uk,Cyrillic,classic,Western Ukraine popular
Anhelina,Angel / Messenger,Greek,girl,ua,uk,Cyrillic,modern,Soft feminine name
Bohdana,God given,Slavic,girl,ua,uk,Cyrillic,classic,Feminine of Bohdan
Roksolana,Woman from Rus,Turkish,girl,ua,uk,Cyrillic,classic,Hürrem Sultan
Lesia,Defender of men,Greek,girl,ua,uk,Cyrillic,classic,Short for Oleksandra
Ivanna,God is gracious,Hebrew,girl,ua,uk,Cyrillic,classic,Western Ukraine traditional
Svitlana,Light / Shining,Slavic,girl,ua,uk,Cyrillic,classic,Loboda (Singer)
Lyubov,Love,Slavic,girl,ua,uk,Cyrillic,classic,Virtue name
Halyna,Calm / Healer,Greek,girl,ua,uk,Cyrillic,classic,Traditional rural
Valentyna,Strong / Healthy,Latin,girl,ua,uk,Cyrillic,classic,Soviet legacy
Yelyzaveta,God is my oath,Hebrew,girl,ua,uk,Cyrillic,classic,Royal name
Marta,Lady / Mistress,Aramaic,girl,ua,uk,Cyrillic,classic,Popular in Lviv
Liudmyla,People's favorite,Slavic,girl,ua,uk,Cyrillic,classic,Gurchenko
Vira,Faith,Slavic,girl,ua,uk,Cyrillic,classic,Virtue name
Maryna,Of the sea,Latin,girl,ua,uk,Cyrillic,classic,Common in 80s
Yaroslava,Fierce and glorious,Slavic,girl,ua,uk,Cyrillic,classic,Mahuchikh (Athlete)
Uliana,Youthful,Latin,girl,ua,uk,Cyrillic,modern,Vintage revival
Stefania,Crown,Greek,girl,ua,uk,Cyrillic,modern,Eurovision song (Kalush)
Emiliia,Rival,Latin,girl,ua,uk,Cyrillic,modern,Western trend
Varvara,Foreign,Greek,girl,ua,uk,Cyrillic,modern,Vintage revival
Arina,Peace,Greek,girl,ua,uk,Cyrillic,modern,Variant of Iryna
Inna,Strong water,Gothic,girl,ua,uk,Cyrillic,classic,Short strong name
Alla,Other / Goddess,Germanic,girl,ua,uk,Cyrillic,classic,Mazur (Presenter)
Kateryna,Pure,Greek,girl,ua,uk,Cyrillic,classic,Very traditional,

Antoni,Praiseworthy,Latin,boy,pl,pl,Latin,classic,Top ranked traditional
Jan,God is gracious,Hebrew,boy,pl,pl,Latin,classic,Pope John Paul II
Jakub,Supplanter,Hebrew,boy,pl,pl,Latin,classic,Kuba is common nickname
Aleksander,Defender of men,Greek,boy,pl,pl,Latin,classic,Kwaśniewski
Franciszek,Frenchman,Latin,boy,pl,pl,Latin,classic,Pope Francis effect
Szymon,He has heard,Hebrew,boy,pl,pl,Latin,classic,Biblical Simon
Mikołaj,Victory of the people,Greek,boy,pl,pl,Latin,classic,Copernicus
Filip,Lover of horses,Greek,boy,pl,pl,Latin,modern,King Philip
Stanisław,Stand in glory,Slavic,boy,pl,pl,Latin,classic,Lem (Writer)
Wojciech,Joy of war,Slavic,boy,pl,pl,Latin,classic,Adalbert of Prague
Kacper,Treasurer,Persian,boy,pl,pl,Latin,modern,Casper friendly ghost
Adam,Man / Earth,Hebrew,boy,pl,pl,Latin,classic,Mickiewicz (Poet)
Michał,Who is like God?,Hebrew,boy,pl,pl,Latin,classic,Michael the Archangel
Marcel,Little warrior,Latin,boy,pl,pl,Latin,modern,French influence
Leon,Lion,Greek,boy,pl,pl,Latin,modern,Short vintage name
Ignacy,Fire,Latin,boy,pl,pl,Latin,classic,Paderewski
Tymon,Honoring God,Greek,boy,pl,pl,Latin,modern,Timon of Athens
Nikodem,Victory of the people,Greek,boy,pl,pl,Latin,classic,Biblical Nicodemus
Piotr,Rock / Stone,Greek,boy,pl,pl,Latin,classic,St. Peter
Maksymilian,Greatest,Latin,boy,pl,pl,Latin,classic,St. Maximilian Kolbe
Bartosz,Son of Talmai,Aramaic,boy,pl,pl,Latin,modern,Polish Bartholomew
Wiktor,Conqueror,Latin,boy,pl,pl,Latin,classic,Romantic era name
Miłosz,Lover of glory,Slavic,boy,pl,pl,Latin,classic,Czesław Miłosz (Nobel)
Oliwier,Olive tree,Latin,boy,pl,pl,Latin,modern,Western trend
Krzysztof,Christ-bearer,Greek,boy,pl,pl,Latin,classic,Kieślowski (Director)
Mateusz,Gift of God,Hebrew,boy,pl,pl,Latin,classic,Mathias
Dawid,Beloved,Hebrew,boy,pl,pl,Latin,classic,Podsiadło (Singer)
Tomasz,Twin,Aramaic,boy,pl,pl,Latin,classic,St. Thomas
Paweł,Small / Humble,Latin,boy,pl,pl,Latin,classic,St. Paul
Julian,Youthful,Latin,boy,pl,pl,Latin,classic,Tuwim (Poet)
Karol,Free man,Germanic,boy,pl,pl,Latin,classic,Karol Wojtyła (JPII)
Maciej,Gift of God,Hebrew,boy,pl,pl,Latin,classic,Old Polish Matthias
Dominik,Of the Lord,Latin,boy,pl,pl,Latin,modern,Saint Dominic
Oskar,God spear,Gaelic,boy,pl,pl,Latin,modern,Literature
Gabriel,God is my strength,Hebrew,boy,pl,pl,Latin,modern,Narutowicz
Hubert,Bright heart,Germanic,boy,pl,pl,Latin,classic,Patron of hunters
Kamil,Perfect,Arabic,boy,pl,pl,Latin,modern,Stoch (Ski jumper)
Natan,He gave,Hebrew,boy,pl,pl,Latin,modern,Biblical Nathan
Tadeusz,Courageous heart,Aramaic,boy,pl,pl,Latin,classic,Pan Tadeusz (Poem)
Igor,Warrior of peace,Norse,boy,pl,pl,Latin,modern,Eastern influence
Borys,Wolf,Turkic,boy,pl,pl,Latin,modern,Szyc (Actor)
Artur,Bear man,Celtic,boy,pl,pl,Latin,classic,Boruc (Goalkeeper)
Kajetan,From Gaeta,Latin,boy,pl,pl,Latin,classic,Vintage revival
Łukasz,Light,Latin,boy,pl,pl,Latin,classic,Gospel Luke
Sebastian,Venerable,Latin,boy,pl,pl,Latin,classic,Bach namesake
Patryk,Nobleman,Latin,boy,pl,pl,Latin,modern,St. Patrick
Grzegorz,Watchful,Greek,boy,pl,pl,Latin,classic,Krychowiak
Marcin,Warrior of Mars,Latin,boy,pl,pl,Latin,classic,Gortat (NBA)
Rafał,God has healed,Hebrew,boy,pl,pl,Latin,classic,Blechacz (Pianist)
Błażej,Lisping,Latin,boy,pl,pl,Latin,classic,Pascal's Blaise
Zuzanna,Lily,Hebrew,girl,pl,pl,Latin,classic,Top #1 girl name
Julia,Youthful,Latin,girl,pl,pl,Latin,classic,Wieniawa (Actress)
Zofia,Wisdom,Greek,girl,pl,pl,Latin,classic,Nałkowska (Writer)
Hanna,Grace,Hebrew,girl,pl,pl,Latin,classic,Hania nickname
Maja,Mother / Great,Greek,girl,pl,pl,Latin,modern,Bee Maja
